aacgr 03AC
Qscr 1D4AC
quaternions 210D
quatint 2A16
quest 003F
questeq 225F
quot 0022
QUOT 0022
rAarr 21DB
race 223D  0331
racute 0155
Racute 0154
radic 221A
raemptyv 29B3
rang 27E9
Rang 27EB
rangd 2992
range 29A5
rangle 27E9
raquo 00BB
rarr 2192
rArr 21D2
Rarr 21A0
rarrap 2975
rarrb 21E5
rarrbfs 2920
rarrc 2933
rarrfs 291E
rarrhk 21AA
rarrlp 21AC
rarrpl 2945
rarrsim 2974
rarrtl 21A3
Rarrtl 2916
rarrw 219D
ratail 291A
rAtail 291C
ratio 2236
rationals 211A
rbarr 290D
rBarr 290F
RBarr 2910
rbbrk 2773
rbraceUM rcub
rbrackUM rsqb
rbrke 298C
rbrksld 298E
rbrkslu 2990
rcaron 0159
Rcaron 0158
rcedil 0157
Rcedil 0156
rceil 2309
rcub 007D
rcy 0440
Rcy 0420
rdca 2937
rdldhar 2969
rdquo 201D
rdquor 201D
rdsh 21B3
Re 211C
real 211C
realine 211B
realpart 211C
reals 211D
rect 25AD
reg 00AE
REG 00AE
ReverseElement 220B
ReverseEquilibrium 21CB
ReverseUpEquilibrium 296F
rfisht 297D
rfloor 230B
rfr 1D52F
Rfr 211C
rgr 03C1
Rgr 03A1
rHar 2964
rhard 21C1
rharu 21C0
rharul 296C
rho 03C1
Rho 03A1
rhov 03F1
RightAngleBracket 27E9
rightarrowUM rarr
Rightarrow 21D2
RightArrowUM rarr
RightArrowBar 21E5
RightArrowLeftArrow 21C4
rightarrowtail 21A3
RightCeiling 2309
RightDoubleBracket 27E7
RightDownTeeVector 295D
RightDownVector 21C2
RightDownVectorBar 2955
RightFloor 230B
rightharpoondown 21C1
rightharpoonup 21C0
rightleftarrows 21C4
rightleftharpoons 21CC
rightrightarrows 21C9
rightsquigarrow 219D
RightTee 22A2
RightTeeArrow 21A6
RightTeeVector 295B
rightthreetimes 22CC
RightTriangle 22B3
RightTriangleBar 29D0
RightTriangleEqual 22B5
RightUpDownVector 294F
RightUpTeeVector 295C
RightUpVector 21BE
RightUpVectorBar 2954
RightVector 21C0
RightVectorBar 2953
ring 02DA
risingdotseq 2253
rlarr 21C4
rlhar 21CC
rlm 200F
rmoust 23B1
rmoustache 23B1
rnmid 2AEE
roang 27ED
roarr 21FE
robrk 27E7
ropar 2986
ropf 1D563
Ropf 211D
roplus 2A2E
rotimes 2A35
RoundImplies 2970
rpar 0029
rpargt 2994
rppolint 2A12
rrarr 21C9
Rrightarrow 21DB
rsaquo 203A
rscr 1D4C7
Rscr 211B
rsh 21B1
Rsh 21B1
rsqb 005D
rsquo 2019
rsquor 2019
rthree 22CC
rtimes 22CA
rtri 25B9
rtrie 22B5
rtrif 25B8
rtriltri 29CE
RuleDelayed 29F4
ruluhar 2968
rx 211E
sacute 015B
Sacute 015A
sbquo 201A
sc 227B
Sc 2ABC
scap 2AB8
scaron 0161
Scaron 0160
sccue 227D
sce 2AB0
scE 2AB4
scedil 015F
Scedil 015E
scirc 015D
Scirc 015C
scnap 2ABA
scnE 2AB6
scnsim 22E9
scpolint 2A13
scsim 227F
scy 0441
Scy 0421
sdot 22C5
sdotb 22A1
sdote 2A66
searhk 2925
searr 2198
seArr 21D8
searrow 2198
sect 00A7
semi 003B
seswar 2929
setminus 2216
setmn 2216
sext 2736
sfgr 03C2
sfr 1D530
Sfr 1D516
sfrown 2322
sgr 03C3
Sgr 03A3
sharp 266F
shchcy 0449
SHCHcy 0429
shcy 0448
SHcy 0428
ShortDownArrow 2193
ShortLeftArrow 2190
shortmid 2223
shortparallel 2225
ShortRightArrow 2192
ShortUpArrow 2191
shy 00AD
sigma 03C3
Sigma 03A3
sigmaf 03C2
sigmav 03C2
sim 223C
simdot 2A6A
sime 2243
simeq 2243
simg 2A9E
simgE 2AA0
siml 2A9D
simlE 2A9F
simne 2246
simplus 2A24
simrarr 2972
slarr 2190
SmallCircle 2218
smallsetminus 2216
smashp 2A33
smeparsl 29E4
smid 2223
smile 2323
smt 2AAA
smte 2AAC
smtes 2AAC  FE00
softcy 044C
SOFTcy 042C
sol 002F
solb 29C4
solbar 233F
sopf 1D564
Sopf 1D54A
spades 2660
spadesuitUB spades
spar 2225
sqcap 2293
sqcaps 2293  FE00
sqcup 2294
sqcups 2294  FE00
Sqrt 221A
sqsub 228F
sqsube 2291
sqsubset 228F
sqsubseteq 2291
sqsup 2290
sqsupe 2292
sqsupset 2290
sqsupseteq 2292
squ 25A1
square 25A1
Square 25A1
SquareIntersection 2293
SquareSubset 228F
SquareSubsetEqual 2291
SquareSuperset 2290
SquareSupersetEqual 2292
SquareUnion 2294
squarf 25AA
squf 25AA
srarr 2192
sscr 1D4C8
Sscr 1D4AE
ssetmn 2216
ssmile 2323
sstarf 22C6
star 2606
Star 22C6
starf 2605
straightepsilon 03F5
straightphi 03D5
strns 00AF
sub 2282
Sub 22D0
subdot 2ABD
sube 2286
subE 2AC5
subedot 2AC3
submult 2AC1
subne 228A
subnE 2ACB
subplus 2ABF
subrarr 2979
subset 2282
Subset 22D0
subseteq 2286
subseteqq 2AC5
SubsetEqual 2286
subsetneq 228A
subsetneqq 2ACB
subsim 2AC7
subsub 2AD5
subsup 2AD3
succ 227B
succapprox 2AB8
succcurlyeq 227D
Succeeds 227B
SucceedsEqual 2AB0
SucceedsSlantEqual 227D
SucceedsTilde 227F
succeq 2AB0
succnapprox 2ABA
succneqq 2AB6
succnsim 22E9
succsim 227F
SuchThat 220B
sum 2211
Sum 2211
sung 266A
sup 2283
Sup 22D1
sup1 00B9
sup2 00B2
sup3 00B3
supdot 2ABE
supdsub 2AD8
supe 2287
supE 2AC6
supedot 2AC4
Superset 2283
SupersetEqual 2287
suphsol 27C9
suphsub 2AD7
suplarr 297B
supmult 2AC2
supne 228B
supnE 2ACC
supplus 2AC0
supset 2283
Supset 22D1
supseteq 2287
supseteqq 2AC6
supsetneq 228B
supsetneqq 2ACC
supsim 2AC8
supsub 2AD4
supsup 2AD6
swarhk 2926
swarr 2199
swArr 21D9
swarrow 2199
swnwar 292A
szlig 00DF
Tab 0009
target 2316
tau 03C4
Tau 03A4
tbrk 23B4
tcaron 0165
Tcaron 0164
tcedil 0163
Tcedil 0162
tcy 0442
Tcy 0422
tdot 20DB
telrec 2315
tfr 1D531
Tfr 1D517
tgr 03C4
Tgr 03A4
there4 2234
therefore 2234
Therefore 2234
theta 03B8
Theta 0398
thetasym 03D1
thetav 03D1
thgr 03B8
THgr 0398
thickapprox 2248
thicksim 223C
ThickSpace 205F  200A
thinsp 2009
ThinSpaceUB thinsp
thkap 2248
thksim 223C
thorn 00FE
THORN 00DE
tilde 02DC
Tilde 223C
TildeEqual 2243
TildeFullEqual 2245
TildeTilde 2248
times 00D7
timesb 22A0
timesbar 2A31
timesd 2A30
tint 222D
toea 2928
top 22A4
topbot 2336
topcir 2AF1
topf 1D565
Topf 1D54B
topfork 2ADA
tosa 2929
tprime 2034
trade 2122
TRADE 2122
triangleUB utri
triangledownUB dtri
triangleleftUB ltri
trianglelefteq 22B4
triangleq 225C
trianglerightUB rtri
trianglerighteq 22B5
tridot 25EC
trie 225C
triminus 2A3A
TripleDot 20DB
triplus 2A39
trisb 29CD
tritime 2A3B
trpezium 23E2
tscr 1D4C9
Tscr 1D4AF
tscy 0446
TScy 0426
tshcy 045B
TSHcy 040B
tstrok 0167
Tstrok 0166
twixt 226C
twoheadleftarrow 219E
twoheadrightarrow 21A0
uacgr 03CD
UacgrUpsilon
uacute 00FA
UacuteU with acute
uarr 2191
uArr 21D1
Uarr 219F
Uarrocir 2949
ubrcy 045E
UbrcyU
ubreve 016D
UbreveU
ucirc 00FB
UcircU with circumflex
ucy 0443
UcyU
udarr 21C5
udblac 0171
UdblacU
udhar 296E
udiagr 03B0
udigr 03CB
UdigrUpsilon
ufisht 297E
ufr 1D532
UfrU
ugr 03C5
UgrUpsilon
ugrave 00F9
UgraveU with grave
uHar 2963
uharl 21BF
uharr 21BE
uhblk 2580
ulcorn 231C
ulcorner 231C
ulcrop 230F
ultri 25F8
umacr 016B
UmacrU
uml 00A8
UnderBar 005F
UnderBrace 23DF
UnderBracket 23B5
UnderParenthesis 23DD
Union 22C3
UnionPlus 228E
uogon 0173
UogonU
uopf 1D566
UopfU
uparrowUM uarr
Uparrow 21D1
UpArrowUM uarr
UpArrowBar 2912
UpArrowDownArrow 21C5
updownarrow 2195
Updownarrow 21D5
UpDownArrow 2195
UpEquilibrium 296E
upharpoonleft 21BF
upharpoonright 21BE
uplus 228E
UpperLeftArrow 2196
UpperRightArrow 2197
upsi 03C5
UpsiUpsilon capital Upsilon
upsih 03D2
upsilon 03C5
UpsilonUgr
UpTee 22A5
UpTeeArrow 21A5
upuparrows 21C8
urcorn 231D
urcorner 231D
urcrop 230E
uring 016F
UringU
urtri 25F9
uscr 1D4CA
UscrU
utdot 22F0
utilde 0169
UtildeU
utri 25B5
utrif 25B4
uuarr 21C8
uuml 00FC
UumlU with diaeresis
uwangle 29A7
vangrt 299C
varepsilon 03F5
varkappa 03F0
varnothing 2205
varphi 03D5
varpi 03D6
varpropto 221D
varr 2195
vArrUpdownarrow A: up&down dbl arrow
varrho 03F1
varsigma 03C2
varsubsetneq 228A  FE00
varsubsetneqq 2ACB  FE00
varsupsetneq 228B  FE00
varsupsetneqq 2ACC  FE00
vartheta 03D1
vartriangleleft 22B2
vartriangleright 22B3
vBar 2AE8
Vbar 2AEB
vBarv 2AE9
vcy 0432
Vcy 0412
vdash 22A2
vDash 22A8
Vdash 22A9
VDash 22AB
Vdashl 2AE6
vee 2228
Vee 22C1
veebar 22BB
veeeq 225A
vellip 22EE
verbar 007C
Verbar 2016
vertUM verbar
Vert 2016
VerticalBar 2223
VerticalLineUM verbar
VerticalSeparator 2758
VerticalTilde 2240
VeryThinSpaceUB hairsp
vfr 1D533
Vfr 1D519
vltri 22B2
vnsub 2282  20D2
vnsup 2283  20D2
vopf 1D567
Vopf 1D54D
vprop 221D
vrtri 22B3
vscr 1D4CB
Vscr 1D4B1
vsubne 228A  FE00
vsubnE 2ACB  FE00
vsupne 228B  FE00
vsupnE 2ACC  FE00
Vvdash 22AA
vzigzag 299A
wcirc 0175
Wcirc 0174
wedbar 2A5F
wedge 2227
Wedge 22C0
wedgeq 2259
weierp 2118
wfr 1D534
Wfr 1D51A
wopf 1D568
Wopf 1D54E
wp 2118
wr 2240
wreath 2240
wscr 1D4CC
Wscr 1D4B2
xcap 22C2
xcirc 25EF
xcup 22C3
xdtri 25BD
xfr 1D535
Xfr 1D51B
xgr 03BE
Xgr 039E
xharr 27F7
xhArr 27FA
xi 03BE
Xi 039E
xlarr 27F5
xlArr 27F8
xmap 27FC
xnis 22FB
xodot 2A00
xopf 1D569
Xopf 1D54F
xoplus 2A01
xotime 2A02
xrarr 27F6
xrArr 27F9
xscr 1D4CD
Xscr 1D4B3
xsqcup 2A06
xuplus 2A04
xutri 25B3
xvee 22C1
xwedge 22C0
yacute 00FD
Yacute 00DD
yacy 044F
YAcy 042F
ycirc 0177
Ycirc 0176
ycy 044B
YcyU
yen 00A5
yfr 1D536
Yfr 1D51C
yicyUkrainian
YIcyUkrainian
yopf 1D56A
Yopf 1D550
yscr 1D4CE
Yscr 1D4B4
yucy 044E
YUcyU
yuml 00FF
Yuml 0178
zacute 017A
Zacute 0179
zcaron 017E
Zcaron 017D
zcy 0437
Zcy 0417
zdot 017C
Zdot 017B
zeetrf 2128
ZeroWidthSpace 200B
zeta 03B6
Zeta 0396
zfr 1D537
Zfr 2128
zgr 03B6
Zgr 0396
zhcy 0436
ZHcy 0416
zigrarr 21DD
zopf 1D56B
Zopf 2124
zscr 1D4CF
Zscr 1D4B5
zwj 200D
zwnj 200C
